source_kind,csv_path,proxy_decisions_path,anomaly_type,rows,triggered_rows,dtc_emitted_rows,result_states,confidence_values,sub_checks,has_positive_proxy_evidence
feature_proxy_pair,prompt_eval_iat_20260802__4s3_iat_low_range__high_fault,data/processed/runs/prompt_eval_iat_20260802__4s3_iat_low_range__high_fault/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,280,3,3,not_evaluable|pass|triggered,high|low,4-S1|4-S2|4-S3,True
feature_proxy_pair,prompt_eval_iat_20260802__4s3_iat_low_range__high_fault,data/processed/runs/prompt_eval_iat_20260802__4s3_iat_low_range__high_fault/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,243,0,0,not_evaluable|pass,high,5-S1|5-S2|5-S3,False
feature_proxy_pair,prompt_eval_map_20260802__5s3_map_frozen_context__strong,data/processed/runs/prompt_eval_map_20260802__5s3_map_frozen_context__strong/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,280,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
feature_proxy_pair,prompt_eval_map_20260802__5s3_map_frozen_context__strong,data/processed/runs/prompt_eval_map_20260802__5s3_map_frozen_context__strong/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,243,4,4,not_evaluable|pass|triggered,high,5-S1|5-S2|5-S3,True
