source_kind,csv_path,output_shape,anomaly_type,risk_score,risk_level,prediction_confidence,estimated_cycles_to_failure,estimated_failure_probability,projection_is_null,risk_history_count,has_notes,notes,has_proxy_decisions_path,proxy_decisions_path,has_proxy_provenance_note,selected_for_eval,selection_reason
feature_proxy_pair,prompt_eval_iat_20260802__4s3_iat_low_range__high_fault,batch,cooling_degradation,1.0,High,0.6534,,0.0031,True,366,True,Failure estimate is a linear projection of trip-level mean risk to the High-risk threshold (0.9000); it is not a calibrated probability of mechanical failure. | estimated_failure_probability is the model-based probability of crossing that threshold within the next 10 trips. | No positive trip-level risk trend was observed; no threshold crossing cycle is projected.,True,data/processed/runs/prompt_eval_iat_20260802__4s3_iat_low_range__high_fault/proxy/70_decisions/proxy_decisions.csv,False,True,representative_cooling_degradation_high
feature_proxy_pair,prompt_eval_map_20260802__5s3_map_frozen_context__strong,batch,cooling_degradation,1.0,High,0.6495,,0.0031,True,366,True,Failure estimate is a linear projection of trip-level mean risk to the High-risk threshold (0.9000); it is not a calibrated probability of mechanical failure. | estimated_failure_probability is the model-based probability of crossing that threshold within the next 10 trips. | No positive trip-level risk trend was observed; no threshold crossing cycle is projected.,True,data/processed/runs/prompt_eval_map_20260802__5s3_map_frozen_context__strong/proxy/70_decisions/proxy_decisions.csv,False,False,
