condition_type,condition,signal,unit,row_count,non_null_count,missing_count,missing_rate,min,max,mean,std,p1,p5,p50,p95,p99,suspicious_value_count,suspicious_value_rate,imputed_count,imputed_rate,cleaning_suspicious_count,cleaning_suspicious_rate,hard_invalid_source_count,hard_invalid_source_rate,constant_segment_count,longest_constant_segment,near_constant_segment_count,longest_near_constant_segment,near_constant_tolerance,jump_count,jump_rate,jump_threshold,jump_threshold_method,jump_count_reliable,jump_diff_median,jump_diff_mad,spike_count,spike_rate,spike_threshold,spike_threshold_method,spike_count_reliable,spike_residual_median,spike_residual_mad
exclusive_operating_state,steady_driving,ambient_temp,°C,70610,70577,33,0.0004673558985979323,-14.0,33.0,11.403445881802854,11.27131993398812,-11.0,-7.0,14.0,26.0,30.0,0,0.0,0,0.0,0,0.0,0,0.0,572,1003,572,1003,0.02,6,8.505450576244277e-05,7.170000000000073,nonzero_p99.5,True,0.0,0.0,1,1.4168921886733639e-05,3.177499999999995,nonzero_p99.5,True,0.0,0.0
exclusive_operating_state,steady_driving,accel_pedal_d,%,70610,70610,0,0.0,14.1,42.0,18.184175046027473,7.5953197692643295,14.1,14.1,14.1,36.5,40.8,0,0.0,33,0.0004673558985979323,0,0.0,0,0.0,412,937,412,937,0.005500000000000002,46,0.0006514750244303135,27.5,nonzero_p99.5,True,0.0,0.0,61,0.0008639002974082991,25.9,nonzero_p99.5,True,0.0,0.0
exclusive_operating_state,steady_driving,accel_pedal_e,%,70610,70610,0,0.0,14.1,63.9,18.52132913185101,7.642022424128564,14.1,14.5,14.5,36.9,42.0,0,0.0,33,0.0004673558985979323,0,0.0,0,0.0,477,156,477,156,0.005100000000000001,76,0.0010763500403631265,28.200000000000003,nonzero_p99.5,True,0.0,0.0,73,0.0010338478968984564,26.37649999999976,nonzero_p99.5,True,0.0,0.0
exclusive_operating_state,high_load,coolant_temp,°C,33376,33376,0,0.0,67.0,101.0,89.70415867689357,3.6476860975057863,72.0,82.0,90.0,92.0,94.0,0,0.0,10,0.0002996164908916587,0,0.0,0,0.0,254,305,254,305,0.001,12,0.00035955056179775283,20.0,nonzero_p99.5,True,0.0,0.0,3,8.98849472674976e-05,8.814999999999998,nonzero_p99.5,True,0.0,0.0
exclusive_operating_state,high_load,map,kPa,33376,33376,0,0.0,85.0,247.0,183.14061001917545,31.12821912642806,110.0,128.0,189.0,228.0,232.0,0,0.0,10,0.0002996164908916587,0,0.0,0,0.0,0,0,0,0,0.047,7160,0.2145318352059925,21.0,median_plus_6_mad,True,3.0,3.0,78,0.002337008628954938,85.0,nonzero_p99.5,True,0.0,0.0
exclusive_operating_state,high_load,rpm,rpm,33376,33376,0,0.0,838.0,4315.0,2040.8131291946308,405.2772438579758,1307.0,1460.0,2037.0,2834.0,3239.0,0,0.0,10,0.0002996164908916587,0,0.0,0,0.0,0,0,0,0,0.44025000000000003,4559,0.13659925093632957,135.0,median_plus_6_mad,True,21.0,19.0,67,0.002007430488974113,759.6450000000004,nonzero_p99.5,True,0.0,0.0
exclusive_operating_state,high_load,speed,km/h,33376,33376,0,0.0,10.0,218.0,108.48955836529242,36.987952734955535,21.0,38.0,115.0,167.0,192.0,0,0.0,10,0.0002996164908916587,0,0.0,0,0.0,25,62,25,62,0.041,2693,0.08068913857677902,7.0,median_plus_6_mad,True,1.0,1.0,36,0.0010786193672099713,24.0,nonzero_p99.5,True,0.0,0.0
exclusive_operating_state,high_load,intake_temp,°C,33376,33376,0,0.0,-27.0,91.0,18.327465843720038,12.532115103828737,-6.0,-2.0,21.0,36.0,41.0,0,0.0,10,0.0002996164908916587,0,0.0,0,0.0,55,68,55,68,0.022,65,0.001947565543071161,22.0,nonzero_p99.5,True,0.0,0.0,35,0.0010486577181208054,19.0,nonzero_p99.5,True,0.0,0.0
exclusive_operating_state,high_load,maf,g/s,33376,33376,0,0.0,9.52,129.22,51.27205746644295,20.419953540071777,17.61,23.41,47.86,92.19749999999999,110.86,0,0.0,10,0.0002996164908916587,0,0.0,0,0.0,0,0,0,0,0.02614,5301,0.1588314606741573,12.900000000000023,median_plus_6_mad,True,1.9800000000000004,1.8200000000000038,11208,0.33581016299137106,1.1899999999999622,median_plus_6_mad,True,0.1699999999999946,0.1699999999999946
exclusive_operating_state,high_load,tps,%,33376,33376,0,0.0,26.3,84.3,81.75582754074784,8.860927702369343,31.8,83.5,83.5,83.5,83.5,0,0.0,10,0.0002996164908916587,0,0.0,0,0.0,159,1070,159,1070,1e-06,6,0.00017977528089887642,52.9,nonzero_p99.5,True,0.0,0.0,2,5.992329817833173e-05,52.9,nonzero_p99.5,True,0.0,0.0
