group_type,group_value,signal,unit,row_count,non_null_count,missing_count,missing_rate,mean,std,min,p1,p5,p50,p95,p99,max
thermal_state,warmup,tps,%,46518,46506,12,0.00025796465884173866,80.90681417451512,11.406287300025143,13.7,25.5,75.7,83.5,83.5,83.5,89.0
thermal_state,warmup,ambient_temp,°C,46518,46492,26,0.0005589234274904338,6.833820872408157,10.706088794273775,-13.0,-12.0,-8.0,3.0,24.0,28.0,33.0
thermal_state,warmup,accel_pedal_d,%,46518,46496,22,0.0004729352078765209,22.53491160529938,12.02606409869492,14.1,14.1,14.1,14.1,47.1,57.6,73.3
thermal_state,warmup,accel_pedal_e,%,46518,46492,26,0.0005589234274904338,22.83971435945969,12.113933608931163,14.1,14.1,14.5,14.5,47.8,58.0,73.3
child_state,acceleration,coolant_temp,°C,42796,42796,0,0.0,78.92918730722498,20.11471869012958,0.0,14.0,32.0,90.0,92.0,95.0,102.0
child_state,acceleration,map,kPa,42796,42796,0,0.0,123.90048135339751,24.13806199598813,36.0,95.0,100.0,117.0,175.0,201.0,235.0
child_state,acceleration,rpm,rpm,42796,42796,0,0.0,1486.5061921674924,319.8466634229505,52.0,858.0,913.0,1512.0,1981.25,2204.0,2842.0
child_state,acceleration,speed,km/h,42796,42796,0,0.0,44.23752219833629,27.767518950606917,0.0,0.0,5.0,41.0,94.0,105.0,115.0
child_state,acceleration,intake_temp,°C,42796,42795,1,2.3366669782222638e-05,19.05616310316626,14.286401178531863,-39.0,-8.0,-2.0,20.0,39.0,50.0,150.0
child_state,acceleration,maf,g/s,42796,42795,1,2.3366669782222638e-05,20.701123963079798,10.076225136156761,0.0,7.83,8.66,18.63,39.52,54.83,106.24
child_state,acceleration,tps,%,42796,42794,2,4.6733339564445275e-05,80.65960181333831,11.621876322042441,13.7,29.4,45.5,83.5,83.5,83.5,89.0
child_state,acceleration,ambient_temp,°C,42796,42789,7,0.00016356668847555846,10.650167099020777,11.105682204606776,-14.0,-12.0,-7.0,13.0,25.0,31.0,33.0
child_state,acceleration,accel_pedal_d,%,42796,42794,2,4.6733339564445275e-05,28.844169743421972,11.956099632604497,14.1,14.1,14.1,29.0,47.8,54.5,78.4
child_state,acceleration,accel_pedal_e,%,42796,42794,2,4.6733339564445275e-05,29.141068841426367,12.132186049635951,14.1,14.1,14.5,29.0,48.6,54.9,77.6
child_state,deceleration,coolant_temp,°C,65291,65291,0,0.0,81.41262961204454,18.12712817875222,4.0,18.0,37.0,90.0,92.0,94.0,102.0
child_state,deceleration,map,kPa,65291,65291,0,0.0,112.7516349879769,17.260387476696142,36.0,72.0,99.0,109.0,143.0,185.09999999999854,230.0
child_state,deceleration,rpm,rpm,65291,65291,0,0.0,1428.9186871084835,445.29080668324605,50.0,767.0,883.0,1426.0,2157.0,2636.0999999999985,4315.0
child_state,deceleration,speed,km/h,65291,65291,0,0.0,56.28016112481046,41.41356173174072,0.0,0.0,2.0,48.0,125.0,156.0,211.0
child_state,deceleration,intake_temp,°C,65291,65291,0,0.0,16.399940267418174,12.466207230367903,-33.0,-9.0,-4.0,18.0,34.0,42.0,102.0
child_state,deceleration,maf,g/s,65291,65291,0,0.0,19.36160366666156,11.269265760320671,0.0,6.88,7.88,16.69,40.08,57.02,112.24
child_state,deceleration,tps,%,65291,65291,0,0.0,81.35689145517759,10.839409984040168,13.7,23.5,83.1,83.5,83.5,83.5,84.3
child_state,deceleration,ambient_temp,°C,65291,65286,5,7.65802331102296e-05,10.518549152957755,11.17421006696901,-14.0,-11.0,-7.0,13.0,25.0,30.0,33.0
child_state,deceleration,accel_pedal_d,%,65291,65290,1,1.531604662204592e-05,18.178780824015927,8.43853855496217,14.1,14.1,14.1,14.1,38.8,49.0,77.6
child_state,deceleration,accel_pedal_e,%,65291,65290,1,1.531604662204592e-05,18.47301730739776,8.44055533626269,14.1,14.1,14.5,14.5,39.2,49.8,77.3
