state_type,state,row_count,duration_seconds,row_rate,duration_rate
thermal_state,engine_off,8775,8775.0,0.035143015050421715,0.035143015050421715
thermal_state,post_warmup,194394,194394.0,0.7785289193973424,0.7785289193973424
thermal_state,unknown,7,7.0,2.8034314000336413e-05,2.8034314000336413e-05
thermal_state,warmup,46518,46518.0,0.1863000312382356,0.1863000312382356
child_state,acceleration,42796,42796.0,0.17139378599405672,0.17139378599405672
child_state,deceleration,65291,65291.0,0.2614840564851378,0.2614840564851378
child_state,high_load,26278,26278.0,0.1052408147572629,0.1052408147572629
child_state,idle,18167,18167.0,0.07275705463487309,0.07275705463487309
child_state,inactive_engine_off,8773,8773.0,0.03513500524642162,0.03513500524642162
child_state,steady_driving,88376,88376.0,0.35393721915624726,0.35393721915624726
child_state,unknown,13,13.0,5.2063726000624763e-05,5.2063726000624763e-05
operating_state,engine_off,8775,8775.0,0.035143015050421715,0.035143015050421715
operating_state,post_warmup__acceleration,31851,31851.0,0.12756013360353072,0.12756013360353072
operating_state,post_warmup__deceleration,51981,51981.0,0.20817881086449816,0.20817881086449816
operating_state,post_warmup__high_load,23166,23166.0,0.09277755973311333,0.09277755973311333
operating_state,post_warmup__idle,8689,8689.0,0.034798593478417586,0.034798593478417586
operating_state,post_warmup__steady_driving,78707,78707.0,0.31521382171778256,0.31521382171778256
operating_state,unknown,11,11.0,4.4053922000528645e-05,4.4053922000528645e-05
operating_state,warmup__acceleration,10945,10945.0,0.043833652390526,0.043833652390526
operating_state,warmup__deceleration,13310,13310.0,0.053305245620639666,0.053305245620639666
operating_state,warmup__high_load,3112,3112.0,0.012463255024149559,0.012463255024149559
operating_state,warmup__idle,9478,9478.0,0.0379584611564555,0.0379584611564555
operating_state,warmup__steady_driving,9669,9669.0,0.03872339743846468,0.03872339743846468
condition_confidence,high,249669,249669.0,0.9998998774499988,0.9998998774499988
condition_confidence,low,13,13.0,5.2063726000624763e-05,5.2063726000624763e-05
condition_confidence,medium,12,12.0,4.805882400057671e-05,4.805882400057671e-05
condition_quality_flags,MISSING_ECT,1,1.0,4.004902000048059e-06,4.004902000048059e-06
condition_quality_flags,MISSING_MAF,24,24.0,9.611764800115342e-05,9.611764800115342e-05
condition_quality_flags,MISSING_RPM,7,7.0,2.8034314000336413e-05,2.8034314000336413e-05
condition_quality_flags,MISSING_SPEED,12,12.0,4.805882400057671e-05,4.805882400057671e-05
condition_quality_flags,OK,249669,249669.0,0.9998998774499988,0.9998998774499988
