source_kind,csv_path,proxy_decisions_path,anomaly_type,rows,triggered_rows,dtc_emitted_rows,result_states,confidence_values,sub_checks,has_positive_proxy_evidence
real_csv,data/raw/OBD-II-Dataset/2017-07-11_Seat_Leon_S_RT_Frei.csv,data/processed/runs/dashboard_upload_20260802T132351Z_922e7190/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-11_Seat_Leon_S_RT_Frei.csv,data/processed/runs/dashboard_upload_20260802T132351Z_922e7190/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,not_evaluable|pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-12_Seat_Leon_RT_S_Normal.csv,data/processed/runs/dashboard_upload_20260802T132357Z_38f6ac31/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-12_Seat_Leon_RT_S_Normal.csv,data/processed/runs/dashboard_upload_20260802T132357Z_38f6ac31/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-12_Seat_Leon_S_RT_Normal.csv,data/processed/runs/dashboard_upload_20260802T132404Z_36dd9332/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-12_Seat_Leon_S_RT_Normal.csv,data/processed/runs/dashboard_upload_20260802T132404Z_36dd9332/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-13_Seat_Leon_KA_KA_Normal.csv,data/processed/runs/dashboard_upload_20260802T132412Z_d5c31624/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-13_Seat_Leon_KA_KA_Normal.csv,data/processed/runs/dashboard_upload_20260802T132412Z_d5c31624/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,not_evaluable|pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-13_Seat_Leon_RT_KA_Stau_Messfehler.csv,data/processed/runs/dashboard_upload_20260802T132458Z_a850cb5d/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,15,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-13_Seat_Leon_RT_KA_Stau_Messfehler.csv,data/processed/runs/dashboard_upload_20260802T132458Z_a850cb5d/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-14_Seat_Leon_KA_RT_Normal.csv,data/processed/runs/dashboard_upload_20260802T132506Z_dc78bc01/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,5,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-14_Seat_Leon_KA_RT_Normal.csv,data/processed/runs/dashboard_upload_20260802T132506Z_dc78bc01/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-24_Seat_Leon_RT_KA_Normal.csv,data/processed/runs/dashboard_upload_20260802T132515Z_282bbcd2/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-24_Seat_Leon_RT_KA_Normal.csv,data/processed/runs/dashboard_upload_20260802T132515Z_282bbcd2/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,not_evaluable|pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-26_Seat_Leon_RT_S_Stau.csv,data/processed/runs/dashboard_upload_20260802T132542Z_26a5bda6/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-26_Seat_Leon_RT_S_Stau.csv,data/processed/runs/dashboard_upload_20260802T132542Z_26a5bda6/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-26_Seat_Leon_S_KA_Normal.csv,data/processed/runs/dashboard_upload_20260802T132551Z_91ec16a1/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-26_Seat_Leon_S_KA_Normal.csv,data/processed/runs/dashboard_upload_20260802T132551Z_91ec16a1/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,not_evaluable|pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-27_Seat_Leon_KA_KA_2_Normal.csv,data/processed/runs/dashboard_upload_20260802T132559Z_6a89b12d/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-27_Seat_Leon_KA_KA_2_Normal.csv,data/processed/runs/dashboard_upload_20260802T132559Z_6a89b12d/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,not_evaluable|pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-27_Seat_Leon_KA_KA_Normal.csv,data/processed/runs/dashboard_upload_20260802T132611Z_6359d2d5/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-27_Seat_Leon_KA_KA_Normal.csv,data/processed/runs/dashboard_upload_20260802T132611Z_6359d2d5/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,not_evaluable|pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-28_Seat_Leon_KA_KA_Normal.csv,data/processed/runs/dashboard_upload_20260802T132616Z_418d8687/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
